time,S,E,I,R
0,19980,0,20,0
1,5570,14410,19,1
2,1543,14300,4154,3
3,435,11299,7711,555
4,115,8435,9862,1588
5,36,6150,10943,2871
6,22,4425,11259,4294
7,11,3200,11022,5767
8,18,2337,10413,7232
9,31,1690,9646,8633
10,32,1239,8840,9889
11,43,932,7961,11064
12,50,690,7118,12142
13,61,516,6397,13026
14,61,405,5687,13847
15,49,332,4990,14629
16,73,262,4444,15221
17,61,225,3904,15810
18,89,192,3455,16264
19,88,192,3048,16672
20,87,194,2653,17066
21,92,189,2329,17390
22,108,193,2039,17660
23,94,193,1799,17914
24,108,203,1591,18098
25,90,218,1436,18256
26,113,201,1322,18364
27,101,221,1196,18482
28,115,220,1095,18570
29,96,220,1007,18677
30,130,203,934,18733
31,104,225,864,18807
32,123,215,805,18857
33,119,234,741,18906
34,128,248,698,18926
35,115,253,682,18950
36,131,263,644,18962
37,141,273,622,18964
38,139,283,610,18968
39,123,289,610,18978
40,134,299,574,18993
41,137,291,575,18997
42,165,289,565,18981
43,141,319,541,18999
44,129,328,550,18993
45,143,314,562,18981
46,158,325,562,18955
47,120,333,579,18968
48,169,308,578,18945
49,137,326,585,18952
50,160,311,594,18935
51,119,327,593,18961
52,163,309,595,18933
53,133,347,565,18955
54,137,342,565,18956
55,144,325,576,18955
56,152,324,580,18944
57,168,327,588,18917
58,176,341,585,18898
59,134,360,603,18903
60,189,313,638,18860
61,157,340,645,18858
62,148,345,634,18873
63,173,333,640,18854
64,185,376,614,18825
65,159,404,624,18813
66,196,383,656,18765
67,158,404,675,18763
68,181,380,693,18746
69,163,394,708,18735
70,189,389,729,18693
71,146,414,714,18726
72,203,392,713,18692
73,175,438,710,18677
74,193,426,719,18662
75,177,432,728,18663
76,164,423,741,18672
77,145,414,727,18714
78,165,399,746,18690
79,176,389,768,18667
80,179,396,762,18663
81,180,413,742,18665
82,209,413,746,18632
83,167,433,763,18637
84,201,422,776,18601
85,194,430,786,18590
86,178,435,791,18596
87,164,431,805,18600
88,200,429,812,18559
89,171,438,810,18581
90,203,414,816,18567
91,184,438,820,18558
92,207,419,807,18567
93,188,454,789,18569
94,181,466,799,18554
95,153,464,805,18578
96,192,443,824,18541
97,168,455,815,18562
98,193,429,828,18550
99,183,417,837,18563
100,192,421,832,18555
101,201,415,831,18553
102,214,453,812,18521
103,180,473,821,18526
104,201,428,853,18518
105,194,428,871,18507
106,180,445,864,18511
107,165,421,889,18525
108,152,434,858,18556
109,186,402,848,18564
110,167,412,842,18579
111,180,397,829,18594
112,216,396,819,18569
113,167,444,791,18598
114,215,430,806,18549
115,205,461,827,18507
116,203,477,811,18509
117,180,448,832,18540
118,183,428,839,18550
119,172,438,845,18545
120,210,432,831,18527
121,234,448,828,18490
122,203,474,834,18489
123,189,476,845,18490
124,198,479,871,18452
125,195,476,886,18443
126,208,491,870,18431
127,220,468,887,18425
128,228,460,908,18404
129,192,486,897,18425
130,227,471,894,18408
131,181,472,885,18462
132,225,447,913,18415
133,200,473,909,18418
134,223,477,921,18379
135,220,500,897,18383
136,230,487,919,18364
137,229,485,931,18355
138,213,521,922,18344
139,172,525,933,18370
140,174,502,934,18390
141,203,474,949,18374
142,218,461,946,18375
143,165,478,938,18419
144,223,455,908,18414
145,195,489,901,18415
146,228,494,894,18384
147,232,494,909,18365
148,235,512,930,18323
149,208,533,939,18320
150,219,529,967,18285
151,177,522,990,18311
152,187,501,985,18327
153,166,482,984,18368
154,181,443,992,18384
155,187,440,984,18389
156,237,439,957,18367
157,236,477,940,18347
158,218,495,937,18350
159,192,503,949,18356
160,215,500,951,18334
161,197,502,958,18343
162,197,506,969,18328
163,203,495,977,18325
164,200,505,990,18305
165,222,492,991,18295
166,250,501,971,18278
167,186,526,994,18294
168,197,492,1008,18303
169,206,483,993,18318
170,202,513,962,18323
171,196,500,978,18326
172,231,487,986,18296
173,223,504,1001,18272
174,227,508,1004,18261
175,197,529,999,18275
176,227,507,982,18284
177,209,534,960,18297
178,237,523,975,18265
179,185,543,972,18300
180,218,515,969,18298
181,226,508,972,18294
182,223,527,990,18260
183,242,549,961,18248
184,246,567,940,18247
185,226,570,988,18216
186,225,557,1011,18207
187,198,571,996,18235
188,190,549,1008,18253
189,215,528,1028,18229
190,224,523,1029,18224
191,196,521,1010,18273
192,250,495,998,18257
193,251,498,1012,18239
194,207,514,1021,18258
195,213,494,1052,18241
196,212,482,1069,18237
197,182,491,1055,18272
198,209,471,1056,18264
199,217,490,1007,18286
200,245,491,995,18269
201,231,534,990,18245
202,237,512,1014,18237
203,201,525,981,18293
204,219,512,977,18292
205,214,519,973,18294
206,213,527,977,18283
207,217,520,975,18288
208,209,519,992,18280
209,174,532,991,18303
210,208,494,1007,18291
211,218,497,991,18294
212,230,510,982,18278
213,246,536,963,18255
214,234,538,972,18256
215,195,526,1029,18250
216,215,509,1012,18264
217,219,508,1018,18255
218,225,514,1005,18256
219,202,533,1007,18258
220,213,512,994,18281
221,203,496,999,18302
222,218,472,1020,18290
223,227,473,1016,18284
224,231,502,999,18268
225,220,518,994,18268
226,226,527,999,18248
227,193,510,1021,18276
228,232,504,987,18277
229,210,508,1021,18261
230,234,520,993,18253
231,225,521,1016,18238
232,219,528,1029,18224
233,207,534,1024,18235
234,213,515,1041,18231
235,200,525,1022,18253
236,212,528,992,18268
237,233,516,993,18258
238,245,507,1006,18242
239,177,530,1003,18290
240,220,486,1018,18276
241,223,509,1017,18251
242,236,524,1032,18208
243,219,559,1021,18201
244,250,539,1055,18156
245,220,568,1044,18168
246,233,555,1055,18157
247,239,541,1068,18152
248,217,573,1059,18151
249,212,568,1072,18148
250,221,546,1094,18139
251,184,519,1101,18196
252,236,492,1066,18206
253,251,511,1040,18198
254,227,550,1022,18201
255,242,541,1042,18175
256,240,538,1047,18175
257,221,531,1058,18190
258,226,541,1079,18154
259,216,535,1078,18171
260,222,563,1060,18155
261,240,553,1067,18140
262,238,556,1080,18126
263,202,583,1059,18156
264,231,559,1067,18143
265,228,548,1070,18154
266,272,516,1085,18127
267,237,559,1094,18110
268,242,552,1108,18098
269,197,553,1120,18130
270,216,527,1099,18158
271,216,530,1087,18167
272,229,535,1066,18170
273,230,548,1061,18161
274,238,560,1074,18128
275,235,560,1073,18132
276,260,556,1076,18108
277,224,576,1056,18144
278,208,555,1070,18167
279,176,554,1076,18194
280,200,485,1092,18223
281,191,489,1084,18236
282,242,494,1063,18201
283,218,525,1032,18225
284,228,510,1054,18208
285,220,526,1052,18202
286,198,522,1050,18230
287,183,506,1048,18263
288,234,485,1043,18238
289,272,480,1036,18212
290,267,501,1017,18215
291,271,553,1005,18171
292,281,573,1026,18120
293,233,603,1047,18117
294,216,575,1072,18137
295,217,548,1081,18154
296,216,525,1077,18182
297,210,535,1089,18166
298,237,532,1062,18169
299,195,520,1075,18210
300,238,494,1080,18188
301,231,516,1083,18170
302,221,540,1056,18183
303,232,536,1060,18172
304,230,518,1089,18163
305,195,526,1070,18209
306,228,514,1062,18196
307,214,534,1054,18198
308,226,514,1078,18182
309,234,513,1084,18169
310,235,529,1067,18169
311,218,535,1068,18179
312,278,527,1061,18134
313,248,570,1040,18142
314,224,593,1035,18148
315,242,558,1042,18158
316,237,572,1052,18139
317,232,562,1075,18131
318,226,568,1097,18109
319,197,556,1108,18139
320,209,541,1100,18150
321,222,534,1074,18170
322,237,546,1062,18155
323,205,554,1058,18183
324,198,513,1074,18215
325,194,521,1049,18236
326,228,502,1047,18223
327,228,506,1049,18217
328,231,515,1052,18202
329,234,537,1023,18206
330,261,541,1010,18188
331,230,566,1031,18173
332,259,547,1070,18124
333,237,567,1071,18125
334,204,558,1081,18157
335,176,529,1084,18211
336,224,485,1077,18214
337,235,498,1066,18201
338,240,506,1065,18189
339,194,557,1031,18218
340,204,526,1048,18222
341,220,507,1035,18238
342,242,523,1030,18205
343,229,542,1020,18209
344,267,559,1001,18173
345,265,557,1046,18132
346,267,592,1059,18082
347,209,623,1047,18121
348,242,565,1095,18098
349,209,572,1110,18109
350,189,560,1123,18128
351,200,517,1120,18163
352,272,488,1106,18134
353,269,538,1094,18099
354,249,584,1079,18088
355,247,591,1101,18061
356,254,603,1081,18062
357,233,603,1106,18058
358,228,581,1117,18074
359,185,578,1103,18134
360,237,525,1108,18130
361,218,537,1126,18119
362,244,532,1096,18128
363,250,550,1056,18144
364,266,566,1084,18084
365,243,597,1076,18084
366,253,599,1075,18073
367,257,603,1090,18050
368,249,602,1096,18053
369,228,591,1131,18050
370,218,576,1141,18065
371,223,565,1135,18077
372,224,527,1129,18120
373,241,524,1120,18115
374,211,540,1099,18150
375,239,516,1090,18155
376,225,540,1081,18154
377,200,540,1075,18185
378,202,530,1069,18199
379,209,536,1050,18205
380,251,503,1053,18193
381,235,543,1041,18181
382,222,542,1084,18152
383,214,531,1068,18187
384,258,505,1066,18171
385,266,513,1081,18140
386,258,553,1084,18105
387,255,545,1095,18105
388,255,567,1095,18083
389,217,592,1091,18100
390,246,576,1081,18097
391,211,587,1087,18115
392,228,568,1077,18127
393,208,557,1093,18142
394,185,549,1074,18192
395,189,525,1070,18216
396,218,498,1062,18222
397,239,502,1027,18232
398,231,519,1023,18227
399,224,516,1033,18227
400,264,517,1042,18177
401,235,555,1048,18162
402,260,588,1033,18119
403,228,582,1069,18121
404,209,568,1070,18153
405,240,556,1060,18144
406,236,565,1043,18156
407,203,571,1068,18158
408,235,538,1084,18143
409,246,559,1059,18136
410,266,568,1076,18090
411,266,580,1102,18052
412,273,592,1112,18023
413,232,625,1111,18032
414,241,587,1141,18031
415,214,608,1128,18050
416,215,583,1138,18064
417,192,548,1147,18113
418,191,514,1145,18150
419,188,493,1123,18196
420,199,474,1125,18202
421,256,477,1083,18184
422,229,515,1037,18219
423,223,520,1034,18223
424,267,516,1014,18203
425,267,549,1000,18184
426,274,573,1031,18122
427,240,597,1074,18089
428,248,581,1087,18084
429,198,588,1091,18123
430,214,539,1116,18131
431,218,526,1113,18143
432,232,546,1087,18135
433,204,557,1093,18146
434,227,525,1101,18147
435,208,520,1103,18169
436,262,504,1093,18141
437,237,537,1068,18158
438,228,553,1047,18172
439,201,539,1030,18230
440,222,499,1052,18227
441,248,495,1052,18205
442,254,530,1059,18157
443,234,560,1057,18149
444,253,584,1033,18130
445,278,584,1027,18111
446,268,595,1042,18095
447,217,622,1064,18097
448,229,579,1107,18085
449,197,574,1080,18149
450,225,527,1114,18134
451,240,520,1119,18121
452,252,528,1104,18116
453,238,581,1073,18108
454,211,596,1066,18127
455,195,569,1072,18164
456,232,533,1078,18157
457,218,541,1096,18145
458,204,536,1104,18156
459,200,524,1110,18166
460,246,522,1076,18156
461,201,574,1084,18141
462,228,548,1066,18158
463,190,567,1067,18176
464,235,526,1080,18159
465,233,533,1095,18139
466,231,540,1080,18149
467,190,543,1080,18187
468,224,503,1082,18191
469,213,526,1065,18196
470,242,515,1066,18177
471,271,552,1057,18120
472,266,588,1061,18085
473,223,577,1088,18112
474,251,558,1100,18091
475,214,594,1101,18091
476,230,575,1112,18083
477,218,590,1109,18083
478,218,553,1128,18101
479,147,562,1107,18184
480,205,496,1116,18183
481,224,481,1113,18182
482,230,486,1100,18184
483,255,501,1085,18159
484,259,518,1071,18152
485,262,541,1069,18128
486,265,564,1054,18117
487,241,564,1074,18121
488,228,561,1091,18120
489,234,567,1093,18106
490,231,562,1104,18103
491,221,556,1116,18107
492,239,540,1120,18101
493,224,561,1101,18114
494,233,571,1084,18112
495,196,565,1088,18151
496,226,539,1094,18141
497,217,548,1094,18141
498,234,529,1113,18124
499,222,544,1098,18136
500,255,554,1085,18106
501,234,566,1088,18112
502,222,562,1096,18120
503,192,559,1077,18172
504,218,526,1108,18148
505,246,538,1084,18132
506,273,574,1054,18099
507,241,584,1077,18098
508,232,565,1119,18084
509,241,570,1089,18100
510,244,561,1122,18073
511,229,583,1108,18080
512,241,555,1092,18112
513,283,569,1092,18056
514,259,582,1107,18052
515,227,607,1091,18075
516,244,605,1085,18066
517,230,600,1101,18069
518,241,601,1106,18052
519,248,586,1119,18047
520,226,598,1133,18043
521,200,574,1134,18092
522,225,530,1159,18086
523,220,544,1141,18095
524,225,532,1130,18113
525,196,527,1137,18140
526,199,532,1122,18147
527,180,500,1124,18196
528,212,462,1121,18205
529,225,484,1081,18210
530,215,500,1071,18214
531,254,507,1060,18179
532,258,538,1066,18138
533,258,557,1080,18105
534,281,585,1090,18044
535,269,612,1084,18035
536,273,628,1089,18010
537,253,650,1086,18011
538,233,640,1110,18017
539,215,601,1153,18031
540,224,565,1176,18035
541,220,566,1166,18048
542,222,572,1134,18072
543,221,545,1126,18108
544,225,559,1069,18147
545,256,567,1055,18122
546,241,596,1038,18125
547,221,597,1068,18114
548,247,565,1099,18089
549,237,587,1100,18076
550,207,591,1135,18067
551,190,566,1135,18109
552,229,515,1156,18100
553,250,513,1140,18097
554,246,525,1141,18088
555,242,562,1114,18082
556,255,580,1111,18054
557,216,593,1089,18102
558,194,560,1102,18144
559,189,539,1116,18156
560,226,525,1077,18172
561,238,549,1056,18157
562,232,565,1061,18142
563,210,564,1067,18159
564,230,554,1078,18138
565,235,532,1092,18141
566,252,528,1087,18133
567,232,549,1049,18170
568,223,557,1068,18152
569,216,550,1069,18165
570,255,522,1104,18119
571,211,536,1125,18128
572,200,523,1120,18157
573,187,507,1096,18210
574,214,502,1095,18189
575,228,522,1044,18206
576,261,536,1056,18147
577,265,552,1061,18122
578,281,559,1074,18086
579,252,580,1075,18093
580,251,596,1070,18083
581,249,585,1107,18059
582,257,588,1100,18055
583,239,603,1109,18049
584,227,612,1114,18047
585,243,578,1159,18020
586,263,544,1186,18007
587,240,544,1179,18037
588,212,565,1170,18053
589,243,528,1178,18051
590,238,543,1162,18057
591,203,541,1168,18088
592,207,542,1164,18087
593,220,548,1110,18122
594,208,531,1113,18148
595,208,522,1090,18180
596,225,523,1068,18184
597,245,521,1059,18175
598,215,539,1054,18192
599,201,534,1051,18214
600,225,523,1038,18214
601,240,527,1034,18199
602,248,534,1012,18206
603,253,551,1023,18173
604,272,570,1027,18131
605,266,579,1038,18117
606,241,595,1056,18108
607,215,602,1039,18144
608,237,567,1096,18100
609,230,574,1101,18095
610,241,575,1124,18060
611,198,576,1126,18100
612,222,532,1175,18071
613,229,513,1183,18075
614,208,522,1145,18125
615,221,504,1123,18152
616,261,492,1120,18127
617,248,530,1091,18131
618,241,543,1092,18124
619,218,556,1105,18121
620,246,555,1093,18106
621,226,592,1075,18107
622,215,584,1079,18122
623,187,564,1093,18156
624,228,531,1104,18137
625,231,545,1090,18134
626,222,555,1087,18136
627,221,550,1087,18142
628,238,569,1074,18119
629,207,570,1059,18164
630,227,559,1056,18158
631,246,559,1042,18153
632,264,563,1047,18126
633,290,567,1089,18054
634,253,614,1098,18035
635,239,600,1138,18023
636,246,626,1139,17989
637,221,621,1151,18007
638,224,593,1153,18030
639,201,589,1146,18064
640,226,571,1142,18061
641,222,562,1146,18070
642,241,554,1127,18078
643,211,550,1126,18113
644,233,523,1131,18113
645,254,522,1138,18086
646,239,541,1101,18119
647,207,546,1088,18159
648,221,514,1093,18172
649,215,525,1085,18175
650,217,532,1086,18165
651,242,509,1092,18157
652,253,519,1066,18162
653,262,542,1066,18130
654,280,561,1090,18069
655,259,606,1086,18049
656,258,626,1101,18015
657,231,592,1148,18029
658,231,586,1122,18061
659,198,573,1140,18089
660,253,522,1169,18056
661,263,555,1110,18072
662,239,569,1148,18044
663,219,566,1148,18067
664,223,547,1140,18090
665,210,540,1107,18143
666,248,535,1109,18108
667,227,547,1102,18124
668,230,540,1103,18127
669,206,545,1099,18150
670,217,527,1081,18175
671,174,539,1069,18218
672,242,486,1062,18210
673,243,500,1052,18205
674,266,549,1042,18143
675,253,580,1039,18128
676,251,586,1043,18120
677,235,604,1051,18110
678,264,592,1054,18090
679,215,609,1070,18106
680,235,580,1083,18102
681,229,579,1081,18111
682,261,535,1131,18073
683,212,570,1137,18081
684,224,543,1146,18087
685,264,541,1119,18076
686,229,552,1122,18097
687,224,564,1093,18119
688,249,550,1100,18101
689,226,564,1093,18117
690,252,548,1092,18108
691,237,583,1068,18112
692,261,561,1089,18089
693,232,580,1082,18106
694,237,552,1114,18097
695,222,542,1116,18120
696,237,538,1118,18107
697,211,551,1121,18117
698,222,548,1101,18129
699,199,542,1102,18157
700,186,529,1074,18211
