time,S,E,I,R
0,19980,0,20,0
1,5523,14457,18,2
2,1550,14331,4115,4
3,420,11377,7677,526
4,115,8397,9950,1538
5,35,6129,10960,2876
6,16,4360,11308,4316
7,17,3127,11052,5804
8,18,2252,10481,7249
9,22,1616,9785,8577
10,37,1188,8947,9828
11,36,904,8034,11026
12,51,670,7225,12054
13,57,528,6498,12917
14,57,414,5780,13749
15,50,331,5172,14447
16,61,282,4583,15074
17,55,240,4065,15640
18,87,186,3624,16103
19,67,184,3178,16571
20,84,180,2821,16915
21,92,172,2500,17236
22,79,182,2220,17519
23,84,168,1983,17765
24,88,178,1765,17969
25,95,186,1561,18158
26,116,193,1405,18286
27,108,206,1273,18413
28,121,214,1142,18523
29,96,222,1062,18620
30,123,208,975,18694
31,113,216,908,18763
32,113,217,850,18820
33,112,217,786,18885
34,122,220,723,18935
35,114,246,673,18967
36,120,244,667,18969
37,139,241,633,18987
38,122,272,598,19008
39,132,268,588,19012
40,171,270,570,18989
41,138,300,575,18987
42,194,275,571,18960
43,128,344,564,18964
44,129,342,566,18963
45,146,311,586,18957
46,146,326,588,18940
47,112,339,574,18975
48,153,304,573,18970
49,129,321,569,18981
50,152,325,563,18960
51,179,321,596,18904
52,168,361,592,18879
53,136,386,598,18880
54,145,356,628,18871
55,150,344,643,18863
56,195,328,629,18848
57,152,363,653,18832
58,139,345,672,18844
59,126,324,678,18872
60,178,313,676,18833
61,162,337,660,18841
62,165,343,654,18838
63,149,365,652,18834
64,177,356,671,18796
65,151,379,677,18793
66,185,393,672,18750
67,170,388,712,18730
68,147,384,726,18743
69,153,367,733,18747
70,176,335,753,18736
71,128,362,730,18780
72,152,353,729,18766
73,165,341,734,18760
74,168,355,711,18766
75,161,348,719,18772
76,188,345,725,18742
77,167,372,710,18751
78,178,368,722,18732
79,178,374,723,18725
80,196,370,734,18700
81,187,390,734,18689
82,179,401,743,18677
83,194,404,762,18640
84,210,429,740,18621
85,171,444,767,18618
86,199,435,777,18589
87,195,441,793,18571
88,184,460,795,18561
89,153,450,812,18585
90,195,419,837,18549
91,172,427,860,18541
92,204,409,843,18544
93,190,429,846,18535
94,173,442,864,18521
95,168,430,868,18534
96,187,432,863,18518
97,172,438,844,18546
98,180,414,865,18541
99,175,415,859,18551
100,207,427,842,18524
101,194,454,826,18526
102,204,447,838,18511
103,191,440,862,18507
104,192,433,872,18503
105,194,446,859,18501
106,183,423,908,18486
107,148,428,885,18539
108,183,407,868,18542
109,201,422,854,18523
110,206,429,862,18503
111,199,448,856,18497
112,218,462,852,18468
113,178,471,860,18491
114,206,459,852,18483
115,196,479,854,18471
116,204,462,855,18479
117,201,464,882,18453
118,204,450,894,18452
119,145,453,918,18484
120,218,418,935,18429
121,202,451,901,18446
122,216,458,877,18449
123,206,472,883,18439
124,206,477,894,18423
125,172,483,899,18446
126,215,485,907,18393
127,177,500,919,18404
128,208,486,910,18396
129,208,472,934,18386
130,216,484,930,18370
131,176,474,973,18377
132,228,460,960,18352
133,216,465,961,18358
134,186,461,982,18371
135,205,466,954,18375
136,215,461,930,18394
137,197,450,962,18391
138,193,476,941,18390
139,167,474,921,18438
140,187,443,945,18425
141,195,438,927,18440
142,187,460,900,18453
143,121,448,938,18493
144,183,377,918,18522
145,213,405,889,18493
146,247,431,862,18460
147,228,464,867,18441
148,213,491,883,18413
149,181,503,888,18428
150,211,469,930,18390
151,206,486,917,18391
152,225,480,938,18357
153,202,492,934,18372
154,223,490,948,18339
155,205,504,947,18344
156,220,484,979,18317
157,210,500,996,18294
158,198,486,1002,18314
159,200,467,1003,18330
160,198,482,983,18337
161,187,483,967,18363
162,254,471,983,18292
163,190,520,974,18316
164,200,496,978,18326
165,219,505,982,18294
166,227,513,967,18293
167,201,513,970,18316
168,229,504,961,18306
169,208,495,987,18310
170,197,481,1017,18305
171,243,468,1015,18274
172,243,506,1011,18240
173,204,540,1030,18226
174,216,523,1036,18225
175,191,509,1064,18236
176,240,516,1023,18221
177,206,546,1029,18219
178,204,528,1042,18226
179,170,493,1069,18268
180,202,466,1038,18294
181,216,474,1030,18280
182,220,469,1045,18266
183,229,480,1053,18238
184,241,504,1042,18213
185,196,514,1052,18238
186,260,512,1030,18198
187,224,558,1030,18188
188,224,547,1059,18170
189,213,539,1083,18165
190,220,520,1093,18167
191,182,519,1096,18203
192,228,480,1095,18197
193,226,489,1081,18204
194,202,494,1057,18247
195,211,483,1013,18293
196,240,504,969,18287
197,212,535,975,18278
198,244,530,976,18250
199,211,535,1008,18246
200,212,519,1008,18261
201,246,510,1009,18235
202,241,538,1008,18213
203,206,535,1035,18224
204,244,526,1046,18184
205,222,543,1035,18200
206,232,521,1053,18194
207,177,512,1075,18236
208,198,485,1051,18266
209,186,454,1065,18295
210,212,449,1042,18297
211,226,472,1011,18291
212,225,481,1022,18272
213,213,496,1027,18264
214,222,498,1025,18255
215,182,514,1005,18299
216,252,482,1028,18238
217,206,532,1010,18252
218,244,530,1032,18194
219,213,546,1052,18189
220,219,537,1062,18182
221,194,538,1070,18198
222,210,528,1059,18203
223,178,519,1063,18240
224,199,496,1051,18254
225,201,518,1023,18258
226,257,486,1046,18211
227,224,524,1033,18219
228,215,526,1025,18234
229,206,528,1034,18232
230,204,517,1044,18235
231,214,509,1045,18232
232,220,521,1030,18229
233,183,520,1027,18270
234,203,483,1036,18278
235,232,481,1023,18264
236,223,506,998,18273
237,224,508,1031,18237
238,225,511,1031,18233
239,183,533,996,18288
240,239,507,1009,18245
241,231,529,1013,18227
242,226,547,1029,18198
243,244,539,1043,18174
244,225,552,1052,18171
245,223,550,1059,18168
246,237,559,1070,18134
247,218,537,1106,18139
248,211,547,1097,18145
249,208,552,1066,18174
250,205,552,1070,18173
251,185,528,1074,18213
252,219,510,1077,18194
253,239,489,1105,18167
254,208,515,1105,18172
255,203,494,1111,18192
256,248,488,1092,18172
257,251,526,1066,18157
258,256,549,1048,18147
259,232,550,1077,18141
260,229,556,1079,18136
261,234,566,1092,18108
262,219,558,1102,18121
263,189,555,1091,18165
264,233,505,1119,18143
265,245,498,1133,18124
266,215,527,1092,18166
267,221,507,1125,18147
268,233,519,1099,18149
269,202,508,1102,18188
270,227,491,1062,18220
271,193,504,1059,18244
272,207,508,1046,18239
273,238,505,1029,18228
274,243,525,1022,18210
275,199,553,1013,18235
276,250,518,1067,18165
277,234,533,1059,18174
278,234,529,1085,18152
279,197,537,1078,18188
280,240,503,1069,18188
281,252,502,1091,18155
282,261,524,1075,18140
283,225,551,1087,18137
284,215,541,1097,18147
285,192,537,1077,18194
286,191,521,1056,18232
287,180,504,1056,18260
288,215,453,1083,18249
289,218,456,1073,18253
290,234,477,1061,18228
291,234,506,1030,18230
292,222,526,1017,18235
293,234,533,999,18234
294,250,536,1012,18202
295,240,538,1038,18184
296,224,534,1062,18180
297,245,545,1036,18174
298,217,548,1053,18182
299,178,524,1096,18202
300,223,493,1085,18199
301,261,502,1075,18162
302,250,529,1070,18151
303,231,544,1095,18130
304,217,538,1102,18143
305,196,546,1085,18173
306,226,527,1084,18163
307,197,523,1091,18189
308,232,511,1087,18170
309,222,540,1091,18147
310,235,517,1119,18129
311,217,523,1144,18116
312,237,521,1122,18120
313,233,530,1099,18138
314,184,550,1107,18159
315,223,513,1124,18140
316,220,521,1114,18145
317,234,517,1105,18144
318,260,524,1075,18141
319,194,558,1084,18164
320,193,525,1090,18192
321,203,516,1055,18226
322,233,514,1041,18212
323,196,529,1006,18269
324,244,520,1016,18220
325,224,556,1009,18211
326,237,560,1041,18162
327,223,549,1069,18159
328,243,545,1066,18146
329,223,569,1029,18179
330,238,549,1068,18145
331,241,554,1072,18133
332,227,577,1064,18132
333,233,587,1080,18100
334,213,584,1118,18085
335,201,541,1150,18108
336,216,516,1169,18099
337,251,495,1154,18100
338,200,548,1118,18134
339,177,526,1143,18154
340,217,495,1137,18151
341,204,509,1127,18160
342,256,505,1111,18128
343,254,542,1093,18111
344,246,571,1103,18080
345,264,562,1107,18067
346,264,590,1102,18044
347,227,603,1099,18071
348,243,570,1134,18053
349,215,565,1155,18065
350,180,546,1137,18137
351,215,521,1108,18156
352,259,504,1118,18119
353,247,537,1113,18103
354,238,553,1108,18101
355,228,549,1098,18125
356,231,559,1095,18115
357,237,541,1131,18091
358,236,540,1127,18097
359,186,539,1133,18142
360,225,494,1131,18150
361,230,514,1119,18137
362,255,505,1113,18127
363,221,545,1109,18125
364,254,536,1115,18095
365,229,575,1107,18089
366,240,571,1109,18080
367,242,547,1151,18060
368,233,553,1152,18062
369,202,568,1156,18074
370,207,573,1141,18079
371,171,555,1157,18117
372,223,530,1126,18121
373,211,534,1114,18141
374,209,533,1106,18152
375,216,517,1081,18186
376,216,510,1076,18198
