time,S,E,I,R
0,19980,0,20,0
1,5520,14460,18,2
2,1597,14237,4162,4
3,467,11380,7589,564
4,130,8569,9742,1559
5,39,6200,10903,2858
6,17,4465,11246,4272
7,14,3214,10985,5787
8,23,2278,10436,7263
9,35,1622,9668,8675
10,39,1207,8753,10001
11,38,869,7984,11109
12,44,647,7174,12135
13,33,505,6405,13057
14,54,388,5693,13865
15,56,322,5079,14543
16,79,244,4512,15165
17,79,207,3991,15723
18,74,197,3512,16217
19,78,182,3114,16626
20,83,188,2758,16971
21,99,182,2466,17253
22,89,194,2191,17526
23,88,195,1947,17770
24,105,182,1742,17971
25,105,185,1553,18157
26,93,203,1368,18336
27,101,202,1250,18447
28,118,199,1138,18545
29,99,223,1031,18647
30,119,220,938,18723
31,112,234,841,18813
32,126,229,814,18831
33,109,243,764,18884
34,127,238,735,18900
35,103,245,700,18952
36,126,235,685,18954
37,113,242,641,19004
38,134,254,618,18994
39,134,275,594,18997
40,147,289,578,18986
41,134,296,590,18980
42,159,320,590,18931
43,106,331,619,18944
44,137,304,623,18936
45,126,305,635,18934
46,175,292,631,18902
47,138,331,601,18930
48,140,323,593,18944
49,151,323,591,18935
50,146,336,592,18926
51,146,336,583,18935
52,154,328,582,18936
53,116,339,578,18967
54,126,319,596,18959
55,120,323,578,18979
56,138,314,568,18980
57,145,329,562,18964
58,154,294,618,18934
59,140,311,622,18927
60,147,321,611,18921
61,147,336,597,18920
62,153,338,609,18900
63,162,338,617,18883
64,166,365,585,18884
65,164,365,614,18857
66,169,364,618,18849
67,162,374,634,18830
68,172,388,666,18774
69,168,385,680,18767
70,201,366,708,18725
71,132,414,678,18776
72,175,395,683,18747
73,173,392,701,18734
74,180,387,715,18718
75,160,381,752,18707
76,181,394,757,18668
77,163,398,747,18692
78,180,407,758,18655
79,153,430,744,18673
80,171,401,749,18679
81,198,392,762,18648
82,198,419,777,18606
83,165,423,802,18610
84,205,421,784,18590
85,176,423,796,18605
86,172,428,789,18611
87,157,416,789,18638
88,191,414,782,18613
89,147,430,792,18631
90,189,385,804,18622
91,157,404,798,18641
92,203,390,786,18621
93,197,432,762,18609
94,207,432,776,18585
95,155,458,783,18604
96,170,435,785,18610
97,169,423,789,18619
98,181,404,800,18615
99,174,415,814,18597
100,212,415,791,18582
101,188,419,794,18599
102,190,422,799,18589
103,185,432,783,18600
104,168,438,806,18588
105,182,442,792,18584
106,189,442,802,18567
107,125,450,832,18593
108,176,415,831,18578
109,177,429,826,18568
110,189,404,844,18563
111,176,415,828,18581
112,204,394,840,18562
113,203,412,832,18553
114,218,450,806,18526
115,195,469,824,18512
116,210,451,853,18486
117,203,472,867,18458
118,190,478,878,18454
119,153,492,889,18466
120,192,471,895,18442
121,222,459,881,18438
122,200,493,869,18438
123,211,475,899,18415
124,195,492,892,18421
125,145,490,894,18471
126,211,456,922,18411
127,201,461,918,18420
128,214,446,934,18406
129,191,476,937,18396
130,196,471,943,18390
131,167,466,948,18419
132,233,444,940,18383
133,193,471,940,18396
134,220,464,926,18390
135,202,488,900,18410
136,245,474,926,18355
137,222,502,939,18337
138,250,503,908,18339
139,196,530,936,18338
140,195,531,951,18323
141,198,505,974,18323
142,188,484,986,18342
143,164,463,1005,18368
144,197,432,1015,18356
145,193,441,974,18392
146,215,452,968,18365
147,231,464,962,18343
148,235,482,965,18318
149,182,504,970,18344
150,210,484,971,18335
151,184,509,958,18349
152,184,481,970,18365
153,181,483,943,18393
154,190,467,943,18400
155,174,470,918,18438
156,256,445,944,18355
157,237,507,916,18340
158,215,530,925,18330
159,194,497,943,18366
160,185,497,949,18369
161,192,484,943,18381
162,235,493,922,18350
163,216,500,952,18332
164,193,525,966,18316
165,212,491,1011,18286
166,194,510,993,18303
167,176,496,954,18374
168,218,457,987,18338
169,183,480,986,18351
170,196,453,978,18373
171,233,448,985,18334
172,239,492,970,18299
173,203,519,963,18315
174,226,483,988,18303
175,192,515,945,18348
176,218,487,965,18330
177,202,512,961,18325
178,180,492,970,18358
179,172,460,978,18390
180,213,433,990,18364
181,198,455,994,18353
182,201,460,986,18353
183,193,475,971,18361
184,238,482,947,18333
185,195,494,959,18352
186,245,479,954,18322
187,226,528,951,18295
188,197,523,987,18293
189,190,511,994,18305
190,221,483,997,18299
191,187,506,982,18325
192,227,485,992,18296
193,219,497,971,18313
194,218,518,962,18302
195,208,538,955,18299
196,239,506,979,18276
197,204,495,1019,18282
198,201,485,1026,18288
199,191,473,1017,18319
200,239,485,992,18284
201,238,501,998,18263
202,224,520,1005,18251
203,175,540,1004,18281
204,233,481,1036,18250
205,221,501,1017,18261
206,214,498,1041,18247
207,212,482,1044,18262
208,190,504,1031,18275
209,166,487,1026,18321
210,250,451,1042,18257
211,234,486,1028,18252
212,248,515,1021,18216
213,225,548,983,18244
214,198,547,1016,18239
215,177,550,1017,18256
216,226,487,1056,18231
217,211,506,1047,18236
218,230,488,1048,18234
219,204,522,1043,18231
220,210,517,1028,18245
221,183,534,1013,18270
222,190,505,1027,18278
223,187,462,1043,18308
224,233,460,1034,18273
225,226,500,1010,18264
226,235,503,993,18269
227,212,516,985,18287
228,240,527,977,18256
229,232,536,987,18245
230,208,534,1021,18237
231,223,518,1022,18237
232,236,520,1034,18210
233,211,540,1024,18225
234,224,532,1055,18189
235,216,542,1055,18187
236,230,545,1055,18170
237,219,536,1048,18197
238,215,544,1036,18205
239,170,546,1045,18239
240,205,524,1030,18241
241,209,510,1046,18235
242,226,511,1036,18227
243,215,516,1039,18230
244,239,499,1046,18216
245,222,515,1064,18199
246,259,509,1061,18171
247,207,556,1032,18205
248,217,537,1034,18212
249,201,535,1015,18249
250,204,503,1028,18265
251,176,490,1056,18278
252,222,459,1054,18265
253,227,475,1017,18281
254,222,511,992,18275
255,219,511,1010,18260
256,263,507,1007,18223
257,229,551,1009,18211
258,247,551,998,18204
259,205,572,1028,18195
260,214,533,1053,18200
261,234,546,1045,18175
262,240,536,1037,18187
263,191,551,1033,18225
264,196,495,1057,18252
265,192,508,1037,18263
266,188,519,1020,18273
267,189,505,1005,18301
268,236,490,994,18280
269,189,527,998,18286
270,228,484,1017,18271
271,202,505,1015,18278
272,279,484,1028,18209
273,243,516,1010,18231
274,264,536,997,18203
275,229,567,994,18210
276,275,570,1009,18146
277,244,597,1014,18145
278,205,586,1054,18155
279,220,537,1095,18148
280,241,554,1078,18127
281,215,555,1080,18150
282,248,544,1090,18118
283,219,567,1114,18100
284,211,544,1120,18125
285,201,527,1129,18143
286,204,502,1133,18161
287,171,510,1109,18210
288,217,464,1099,18220
289,216,493,1075,18216
290,250,512,1041,18197
291,215,553,1019,18213
292,268,541,1032,18159
293,213,576,1038,18173
294,244,569,1073,18114
295,212,577,1073,18138
296,212,554,1112,18122
297,221,551,1086,18142
298,211,554,1057,18178
299,167,547,1073,18213
300,230,488,1086,18196
301,203,517,1059,18221
302,206,504,1072,18218
303,205,539,1031,18225
304,227,548,1035,18190
305,192,548,1046,18214
306,209,527,1066,18198
307,193,522,1047,18238
308,234,492,1033,18241
309,230,512,1042,18216
310,242,536,1014,18208
311,226,526,1040,18208
312,262,515,1053,18170
313,244,550,1057,18149
314,232,571,1048,18149
315,248,547,1067,18138
316,242,566,1071,18121
317,221,547,1089,18143
318,251,525,1107,18117
319,200,544,1111,18145
320,207,526,1102,18165
321,231,489,1113,18167
322,229,537,1087,18147
323,193,552,1086,18169
324,245,519,1094,18142
325,246,552,1065,18137
326,259,575,1085,18081
327,225,569,1115,18091
328,257,579,1085,18079
329,215,592,1112,18081
330,253,569,1121,18057
331,232,579,1126,18063
332,217,568,1129,18086
333,250,539,1130,18081
334,212,582,1106,18100
335,173,567,1114,18146
336,212,523,1131,18134
337,219,527,1125,18129
338,206,532,1109,18153
339,208,515,1097,18180
340,236,497,1090,18177
341,203,536,1066,18195
342,245,515,1068,18172
343,239,526,1031,18204
344,236,539,1069,18156
345,271,537,1059,18133
346,259,589,1065,18087
347,218,604,1078,18100
348,221,589,1098,18092
349,214,565,1103,18118
350,218,542,1111,18129
351,241,533,1121,18105
352,242,528,1147,18083
353,212,553,1137,18098
354,244,530,1141,18085
355,229,538,1137,18096
356,220,544,1115,18121
357,237,535,1104,18124
358,232,547,1075,18146
359,196,533,1103,18168
360,251,493,1089,18167
361,233,500,1079,18188
362,248,516,1062,18174
363,241,558,1033,18168
364,243,561,1038,18158
365,217,567,1067,18149
366,265,530,1093,18112
367,243,557,1076,18124
368,237,542,1126,18095
369,208,552,1103,18137
370,216,539,1102,18143
371,214,520,1141,18125
372,230,527,1137,18106
373,215,534,1119,18132
374,201,527,1108,18164
375,210,522,1103,18165
376,219,519,1104,18158
377,197,530,1083,18190
378,220,500,1078,18202
379,243,496,1078,18183
380,255,516,1052,18177
