time,S,E,I,R
0,19980,0,20,0
1,5557,14423,19,1
2,1623,14234,4139,4
3,437,11435,7536,592
4,113,8632,9620,1635
5,38,6283,10802,2877
6,20,4500,11136,4344
7,14,3289,10834,5863
8,25,2349,10320,7306
9,27,1674,9630,8669
10,33,1193,8865,9909
11,36,892,8037,11035
12,59,673,7202,12066
13,51,511,6444,12994
14,63,392,5740,13805
15,73,311,5097,14519
16,82,262,4510,15146
17,80,231,4013,15676
18,66,226,3522,16186
19,80,197,3131,16592
20,92,196,2732,16980
21,85,200,2407,17308
22,99,204,2166,17531
23,72,203,1953,17772
24,108,191,1739,17962
25,90,208,1557,18145
26,103,200,1389,18308
27,99,212,1258,18431
28,104,214,1155,18527
29,102,220,1053,18625
30,117,227,962,18694
31,107,239,883,18771
32,124,241,819,18816
33,117,259,785,18839
34,108,259,747,18886
35,99,246,720,18935
36,157,214,696,18933
37,115,267,647,18971
38,140,279,622,18959
39,132,293,590,18985
40,144,297,574,18985
41,125,311,560,19004
42,148,312,556,18984
43,142,334,567,18957
44,151,325,569,18955
45,142,333,569,18956
46,148,333,574,18945
47,136,323,590,18951
48,177,317,605,18901
49,155,346,596,18903
50,158,346,599,18897
51,149,338,607,18906
52,167,337,606,18890
53,141,336,608,18915
54,150,325,609,18916
55,130,353,595,18922
56,155,332,610,18903
57,181,328,602,18889
58,176,351,614,18859
59,141,381,598,18880
60,178,375,591,18856
61,152,384,619,18845
62,143,383,635,18839
63,146,371,629,18854
64,150,364,629,18857
65,160,377,629,18834
66,192,368,653,18787
67,149,398,656,18797
68,179,357,694,18770
69,158,375,687,18780
70,162,365,691,18782
71,155,365,705,18775
72,199,370,682,18749
73,180,409,689,18722
74,185,416,669,18730
75,164,436,690,18710
76,206,427,722,18645
77,182,426,742,18650
78,175,431,766,18628
79,155,424,765,18656
80,181,407,778,18634
81,176,425,757,18642
82,186,425,766,18623
83,168,428,754,18650
84,194,417,769,18620
85,172,432,782,18614
86,189,399,802,18610
87,189,416,801,18594
88,189,421,792,18598
89,167,424,801,18608
90,187,422,785,18606
91,173,424,796,18607
92,212,399,813,18576
93,193,417,822,18568
94,199,431,801,18569
95,157,440,811,18592
96,229,408,833,18530
97,172,457,819,18552
98,191,430,843,18536
99,168,429,839,18564
100,194,422,832,18552
101,172,442,812,18574
102,202,431,822,18545
103,189,445,823,18543
104,179,447,802,18572
105,166,440,811,18583
106,191,433,805,18571
107,173,436,809,18582
108,214,429,803,18554
109,188,457,802,18553
110,178,449,820,18553
111,188,443,844,18525
112,215,432,871,18482
113,173,456,852,18519
114,218,468,845,18469
115,182,468,874,18476
116,200,448,870,18482
117,195,461,870,18474
118,189,485,846,18480
119,155,483,850,18512
120,194,465,859,18482
121,206,449,888,18457
122,211,479,868,18442
123,179,486,883,18452
124,203,487,879,18431
125,178,477,901,18444
126,204,465,889,18442
127,165,464,900,18471
128,176,441,919,18464
129,198,426,914,18462
130,217,429,891,18463
131,167,450,872,18511
132,216,448,849,18487
133,213,459,872,18456
134,189,483,869,18459
135,210,453,909,18428
136,219,453,916,18412
137,207,473,892,18428
138,220,477,906,18397
139,175,517,910,18398
