time,S,E,I,R
0,19980,0,20,0
1,5473,14507,18,2
2,1517,14309,4171,3
3,393,11331,7712,564
4,113,8463,9858,1566
5,30,6104,11010,2856
6,19,4456,11200,4325
7,18,3193,10977,5812
8,23,2306,10432,7239
9,33,1665,9754,8548
10,37,1219,8921,9823
11,29,892,8111,10968
12,32,631,7276,12061
13,48,464,6526,12962
14,68,378,5751,13803
15,63,301,5133,14503
16,71,240,4530,15159
17,78,216,3995,15711
18,64,215,3530,16191
19,82,185,3099,16634
20,89,171,2739,17001
21,73,180,2433,17314
22,78,166,2177,17579
23,75,181,1917,17827
24,93,167,1702,18038
25,97,183,1525,18195
26,89,211,1348,18352
27,85,210,1229,18476
28,98,207,1123,18572
29,118,200,1023,18659
30,108,226,935,18731
31,100,232,868,18800
32,102,226,798,18874
33,128,220,736,18916
34,136,246,671,18947
35,103,252,665,18980
36,126,249,645,18980
37,119,262,608,19011
38,137,260,594,19009
39,127,280,558,19035
40,145,279,570,19006
41,128,291,551,19030
42,140,296,562,19002
43,115,326,541,19018
44,117,324,542,19017
45,127,310,553,19010
46,154,299,552,18995
47,135,328,545,18992
48,143,315,570,18972
49,136,326,565,18973
50,146,330,568,18956
51,136,343,573,18948
52,153,329,581,18937
53,136,336,580,18948
54,157,317,596,18930
55,132,326,629,18913
56,146,317,614,18923
57,166,323,606,18905
58,168,359,597,18876
59,144,385,619,18852
60,158,372,626,18844
61,144,348,666,18842
62,140,354,635,18871
63,142,364,627,18867
64,151,360,649,18840
65,145,365,668,18822
66,188,347,690,18775
67,134,398,683,18785
68,162,378,703,18757
69,169,375,696,18760
70,198,364,703,18735
71,162,385,704,18749
72,212,374,691,18723
73,199,412,670,18719
74,178,425,680,18717
75,178,409,709,18704
76,190,395,724,18691
77,146,402,733,18719
78,180,399,737,18684
79,158,392,736,18714
80,178,393,708,18721
81,193,400,713,18694
82,211,400,705,18684
83,138,424,721,18717
84,194,396,718,18692
85,169,422,724,18685
86,174,418,731,18677
87,181,425,747,18647
88,188,433,749,18630
89,166,426,766,18642
90,184,413,774,18629
91,186,423,761,18630
92,214,438,758,18590
93,204,447,796,18553
94,210,456,819,18515
95,170,474,839,18517
96,198,450,853,18499
97,175,468,845,18512
98,167,464,842,18527
99,184,444,837,18535
100,179,444,834,18543
101,162,451,849,18538
102,197,432,848,18523
103,173,441,837,18549
104,165,432,838,18565
105,185,419,823,18573
106,178,438,803,18581
107,173,427,821,18579
108,222,411,850,18517
109,187,457,814,18542
110,164,450,833,18553
111,162,421,852,18565
112,180,402,839,18579
113,164,428,813,18595
114,211,428,803,18558
115,170,445,838,18547
116,200,437,831,18532
117,213,452,825,18510
118,213,463,835,18489
119,165,475,844,18516
120,207,452,861,18480
121,198,469,874,18459
122,209,454,899,18438
123,202,456,914,18428
124,189,472,906,18433
125,173,460,918,18449
126,199,462,899,18440
127,188,474,884,18454
128,198,456,903,18443
129,170,473,890,18467
130,182,458,898,18462
131,162,454,890,18494
132,213,420,915,18452
133,186,462,886,18466
134,178,451,893,18478
135,179,451,873,18497
136,232,446,866,18456
137,200,471,865,18464
138,219,446,874,18461
139,210,465,891,18434
140,211,478,881,18430
141,184,481,898,18437
142,197,482,876,18445
143,167,483,883,18467
144,201,462,884,18453
145,215,482,883,18420
146,232,470,912,18386
147,225,511,908,18356
148,206,500,946,18348
149,202,489,946,18363
150,196,474,977,18353
151,175,463,977,18385
152,184,438,963,18415
153,179,446,943,18432
154,175,443,916,18466
155,174,455,876,18495
156,236,440,893,18431
157,221,479,884,18416
158,199,494,909,18398
159,181,517,897,18405
160,185,496,909,18410
161,181,471,920,18428
162,249,456,913,18382
163,205,472,924,18399
164,208,488,942,18362
165,184,508,948,18360
166,191,496,972,18341
167,166,500,953,18381
168,196,494,925,18385
169,214,498,917,18371
170,210,504,912,18374
171,223,500,948,18329
172,219,523,941,18317
