time,S,E,I,R
0,19980,0,20,0
1,5469,14511,19,1
2,1505,14430,4058,7
3,389,11369,7708,534
4,116,8463,9846,1575
5,43,6185,10825,2947
6,19,4430,11197,4354
7,14,3182,10936,5868
8,21,2280,10385,7314
9,28,1657,9651,8664
10,43,1194,8903,9860
11,24,922,8003,11051
12,43,680,7156,12121
13,51,499,6433,13017
14,59,391,5693,13857
15,66,304,5102,14528
16,73,260,4531,15136
17,74,233,3996,15697
18,91,207,3525,16177
19,81,204,3126,16589
20,84,197,2790,16929
21,81,195,2464,17260
22,88,189,2166,17557
23,92,188,1914,17806
24,103,180,1719,17998
25,98,206,1525,18171
26,106,189,1396,18309
27,86,220,1236,18458
28,124,208,1131,18537
29,104,237,1036,18623
30,122,241,964,18673
31,106,246,904,18744
32,118,236,866,18780
33,121,243,822,18814
34,129,254,767,18850
35,120,261,735,18884
36,155,256,712,18877
37,141,289,674,18896
38,135,302,650,18913
39,127,316,633,18924
40,140,308,637,18915
41,109,312,632,18947
42,146,294,633,18927
43,115,306,616,18963
44,139,278,622,18961
45,143,295,605,18957
46,155,304,627,18914
47,116,331,601,18952
48,139,293,612,18956
49,123,317,605,18955
50,157,301,609,18933
51,138,335,589,18938
52,166,318,606,18910
53,134,356,591,18919
54,144,343,629,18884
55,145,353,630,18872
56,182,344,643,18831
57,146,383,630,18841
58,178,374,642,18806
59,150,393,650,18807
60,170,372,675,18783
61,168,355,691,18786
62,170,372,691,18767
63,143,375,705,18777
64,175,362,702,18761
65,163,376,682,18779
66,177,389,674,18760
67,143,390,693,18774
68,148,361,708,18783
69,168,350,706,18776
70,191,365,701,18743
71,150,396,699,18755
72,205,390,712,18693
73,179,429,711,18681
74,197,415,746,18642
75,161,442,752,18645
76,195,409,773,18623
77,162,418,776,18644
78,183,412,764,18641
79,161,411,766,18662
80,180,393,763,18664
81,182,413,731,18674
82,194,407,748,18651
83,158,416,766,18660
84,195,406,776,18623
85,167,428,777,18628
86,169,442,780,18609
87,177,428,791,18604
88,200,415,809,18576
89,166,425,831,18578
90,176,409,834,18581
91,173,423,803,18601
92,192,426,789,18593
93,187,445,786,18582
94,210,440,808,18542
95,136,455,824,18585
96,187,379,853,18581
97,173,423,826,18578
98,176,432,824,18568
99,182,427,816,18575
100,198,428,843,18531
101,175,456,824,18545
102,203,439,836,18522
103,183,454,829,18534
104,190,443,839,18528
105,203,435,857,18505
106,214,446,862,18478
107,174,458,859,18509
108,197,448,846,18509
109,188,467,838,18507
110,203,472,837,18488
111,180,471,850,18499
112,227,468,865,18440
113,190,470,887,18453
114,208,454,913,18425
115,203,469,910,18418
116,211,482,905,18402
117,207,471,917,18405
118,194,474,914,18418
119,168,474,918,18440
120,186,452,936,18426
121,216,447,931,18406
122,222,466,941,18371
123,214,477,959,18350
124,213,464,962,18361
