time,S,E,I,R
0,19980,0,20,0
1,5563,14417,19,1
2,1511,14335,4149,5
3,399,11293,7801,507
4,112,8383,9931,1574
5,40,6073,10992,2895
6,15,4375,11233,4377
7,10,3125,11032,5833
8,18,2249,10428,7305
9,20,1640,9688,8652
10,33,1160,8909,9898
11,37,878,8042,11043
12,54,652,7218,12076
13,49,509,6417,13025
14,49,377,5693,13881
15,56,294,5051,14599
16,58,246,4426,15270
17,70,210,3882,15838
18,70,185,3405,16340
19,67,172,2978,16783
20,82,143,2608,17167
21,72,151,2292,17485
22,93,139,2057,17711
23,82,157,1835,17926
24,103,163,1638,18096
25,109,196,1447,18248
26,89,210,1301,18400
27,101,213,1184,18502
28,106,220,1057,18617
29,114,217,966,18703
30,129,236,865,18770
31,117,245,811,18827
32,128,249,759,18864
33,119,261,715,18905
34,137,254,686,18923
35,107,276,679,18938
36,134,271,646,18949
37,147,280,638,18935
38,125,286,627,18962
39,113,298,599,18990
40,142,281,602,18975
41,121,298,589,18992
42,115,310,564,19011
43,122,296,561,19021
44,119,292,556,19033
45,128,293,553,19026
46,138,290,556,19016
47,120,301,551,19028
48,137,291,559,19013
49,160,301,542,18997
50,189,313,532,18966
51,169,353,542,18936
52,179,339,556,18926
53,129,381,549,18941
54,163,355,565,18917
55,149,368,579,18904
56,152,350,602,18896
57,174,354,614,18858
58,173,356,640,18831
59,142,355,650,18853
60,149,364,649,18838
61,160,352,672,18816
62,161,363,656,18820
63,156,369,666,18809
64,163,360,675,18802
65,141,366,700,18793
66,176,367,707,18750
67,179,390,680,18751
68,191,400,673,18736
69,166,418,686,18730
70,179,417,709,18695
71,141,418,722,18719
72,166,371,762,18701
73,151,374,777,18698
74,181,375,766,18678
75,166,405,761,18668
76,176,402,768,18654
77,148,400,779,18673
78,176,377,787,18660
79,157,394,769,18680
80,171,374,771,18684
81,161,404,743,18692
82,172,398,741,18689
83,136,408,757,18699
84,182,384,744,18690
85,193,407,743,18657
86,182,427,738,18653
87,190,411,748,18651
88,194,406,786,18614
89,148,439,794,18619
90,211,406,804,18579
91,167,437,800,18596
92,204,445,790,18561
93,209,438,812,18541
94,204,455,799,18542
95,166,469,802,18563
96,176,426,826,18572
97,193,428,808,18571
98,188,431,823,18558
99,178,443,833,18546
100,224,435,818,18523
101,194,466,823,18517
102,197,474,814,18515
103,197,475,853,18475
104,196,462,867,18475
105,187,458,879,18476
106,206,427,898,18469
107,169,439,905,18487
108,214,439,880,18467
109,177,447,873,18503
110,193,432,879,18496
111,185,421,890,18504
112,212,443,856,18489
113,191,462,850,18497
114,212,469,840,18479
115,184,488,847,18481
116,212,455,884,18449
117,193,478,891,18438
118,182,482,872,18464
119,147,472,892,18489
120,193,437,896,18474
121,205,443,887,18465
122,214,455,866,18465
123,211,471,879,18439
124,196,483,902,18419
125,175,494,912,18419
126,219,444,949,18388
127,211,470,921,18398
128,202,479,930,18389
129,195,508,894,18403
130,199,481,917,18403
131,143,485,922,18450
132,215,441,917,18427
133,215,478,906,18401
134,183,498,906,18413
135,177,472,944,18407
136,208,474,936,18382
137,177,490,924,18409
138,210,478,919,18393
