time,S,E,I,R
0,19980,0,20,0
1,5511,14469,17,3
2,1534,14350,4111,5
3,425,11315,7750,510
4,108,8521,9837,1534
5,33,6181,11007,2779
6,17,4486,11295,4202
7,10,3262,11057,5671
8,22,2344,10515,7119
9,28,1710,9702,8560
10,32,1224,8902,9842
11,33,912,8038,11017
12,38,662,7206,12094
13,53,503,6439,13005
14,58,385,5706,13851
15,58,316,5082,14544
16,77,230,4458,15235
17,71,212,3957,15760
18,82,203,3485,16230
19,71,185,3070,16674
20,94,169,2719,17018
21,80,186,2403,17331
22,92,170,2165,17573
23,90,180,1915,17815
24,92,187,1720,18001
25,95,195,1523,18187
26,112,188,1379,18321
27,103,210,1234,18453
28,119,218,1137,18526
29,99,238,1031,18632
30,133,231,956,18680
31,96,262,884,18758
32,125,257,816,18802
33,132,283,772,18813
34,124,282,746,18848
35,111,256,732,18901
36,139,255,699,18907
37,119,273,656,18952
38,139,264,635,18962
39,126,275,620,18979
40,161,282,597,18960
41,138,304,589,18969
42,158,291,607,18944
43,135,324,593,18948
44,143,312,598,18947
45,145,308,603,18944
46,150,309,603,18938
47,111,309,600,18980
48,154,290,593,18963
49,150,319,569,18962
50,189,312,595,18904
51,148,337,584,18931
52,162,348,592,18898
53,142,342,626,18890
54,147,348,637,18868
55,129,357,647,18867
56,164,335,649,18852
57,142,370,616,18872
58,168,360,622,18850
59,142,357,626,18875
60,194,335,643,18828
61,160,356,671,18813
62,156,364,650,18830
63,172,374,644,18810
64,192,380,652,18776
65,175,383,676,18766
66,199,368,706,18727
67,173,398,702,18727
68,160,392,713,18735
69,162,384,724,18730
70,170,395,715,18720
71,146,412,709,18733
72,160,383,739,18718
73,160,388,739,18713
74,177,382,733,18708
75,164,388,744,18704
76,170,398,747,18685
77,139,401,743,18717
78,162,370,739,18729
79,154,373,729,18744
80,191,368,718,18723
81,172,395,706,18727
82,187,379,716,18718
83,160,398,712,18730
84,210,383,728,18679
85,186,424,736,18654
86,184,426,751,18639
87,165,430,762,18643
88,175,402,788,18635
89,157,388,793,18662
90,185,399,755,18661
91,181,409,779,18631
92,211,418,791,18580
93,179,437,787,18597
94,197,424,791,18588
95,154,437,810,18599
96,191,400,843,18566
97,179,411,843,18567
98,169,418,824,18589
99,203,414,807,18576
100,234,435,815,18516
101,205,476,813,18506
102,204,472,833,18491
103,187,475,837,18501
104,182,469,848,18501
105,191,453,859,18497
106,206,470,845,18479
107,156,463,857,18524
108,195,435,843,18527
109,164,458,830,18548
110,192,440,841,18527
111,169,440,863,18528
112,220,445,842,18493
113,171,480,840,18509
114,225,440,869,18466
115,195,471,888,18446
116,227,456,895,18422
117,180,482,897,18441
118,192,462,919,18427
119,156,480,898,18466
120,214,462,892,18432
121,220,477,905,18398
122,213,488,911,18388
123,191,515,908,18386
124,209,503,923,18365
125,186,505,923,18386
