time,S,E,I,R
0,19980,0,20,0
1,5500,14480,18,2
2,1564,14328,4106,2
3,412,11454,7553,581
4,127,8481,9847,1545
5,33,6137,10968,2862
6,15,4399,11337,4249
7,18,3164,11007,5811
8,18,2269,10448,7265
9,26,1637,9739,8598
10,37,1184,8917,9862
11,33,900,8022,11045
12,50,692,7220,12038
13,53,514,6450,12983
14,52,412,5778,13758
15,43,324,5119,14514
16,66,254,4541,15139
17,62,215,4008,15715
18,87,202,3527,16184
19,76,202,3088,16634
20,91,184,2726,16999
21,84,182,2431,17303
22,87,185,2154,17574
23,79,197,1901,17823
24,98,179,1706,18017
25,105,191,1516,18188
26,99,208,1366,18327
27,103,199,1239,18459
28,96,207,1128,18569
29,112,200,1044,18644
30,112,213,979,18696
31,96,229,908,18767
32,120,231,839,18810
33,113,225,820,18842
34,108,236,753,18903
35,93,242,704,18961
36,141,239,667,18953
37,151,243,648,18958
38,115,271,613,19001
39,115,257,583,19045
40,144,254,576,19026
41,141,282,550,19027
42,150,296,543,19011
43,112,322,527,19039
44,142,311,524,19023
45,142,328,547,18983
46,151,328,558,18963
47,124,323,570,18983
48,159,309,574,18958
49,173,306,590,18931
50,160,349,592,18899
51,147,350,610,18893
52,141,354,618,18887
53,115,351,625,18909
54,134,314,630,18922
55,145,323,610,18922
56,145,337,605,18913
57,160,334,610,18896
58,177,333,622,18868
59,127,367,614,18892
60,168,345,623,18864
61,133,370,621,18876
62,161,332,635,18872
63,142,347,631,18880
64,187,322,668,18823
65,171,364,648,18817
66,188,361,666,18785
67,154,393,661,18792
68,149,389,667,18795
69,153,353,704,18790
70,172,355,699,18774
71,157,359,685,18799
72,174,369,689,18768
73,187,397,675,18741
74,175,413,676,18736
75,165,387,715,18733
76,168,385,728,18719
77,166,397,713,18724
78,169,397,704,18730
79,148,383,741,18728
80,164,356,771,18709
81,182,362,740,18716
82,207,399,731,18663
83,180,435,720,18665
84,176,454,728,18642
85,177,448,766,18609
86,176,426,797,18601
87,169,432,785,18614
88,186,419,798,18597
89,141,432,781,18646
90,200,379,802,18619
91,153,404,798,18645
92,195,398,784,18623
93,197,416,787,18600
94,177,406,836,18581
95,157,401,852,18590
96,187,397,853,18563
97,187,426,823,18564
98,182,450,809,18559
99,165,454,831,18550
100,194,456,827,18523
101,166,443,854,18537
102,173,433,862,18532
103,171,421,873,18535
104,171,429,846,18554
105,204,419,840,18537
106,194,454,815,18537
107,147,460,833,18560
108,174,417,870,18539
109,187,397,864,18552
110,211,420,851,18518
111,190,449,836,18525
112,207,452,847,18494
113,193,465,851,18491
114,193,468,851,18488
115,193,462,850,18495
116,206,461,853,18480
117,220,468,857,18455
118,186,481,889,18444
119,171,453,906,18470
120,205,416,913,18466
121,201,419,922,18458
122,189,430,933,18448
123,176,447,912,18465
124,199,455,890,18456
125,209,457,899,18435
126,208,462,892,18438
127,195,463,907,18435
128,210,460,889,18441
129,188,490,903,18419
130,200,467,913,18420
131,209,451,912,18428
132,230,465,895,18410
133,211,507,881,18401
134,190,497,893,18420
135,206,490,887,18417
136,215,494,905,18386
137,196,507,920,18377
138,214,498,919,18369
139,182,497,943,18378
140,223,468,968,18341
141,206,500,948,18346
142,206,481,956,18357
143,172,485,938,18405
144,212,453,952,18383
145,217,488,928,18367
146,220,526,919,18335
147,223,537,925,18315
148,228,509,934,18329
149,183,513,964,18340
150,181,500,973,18346
151,165,462,1006,18367
152,169,446,996,18389
153,180,434,976,18410
154,196,428,966,18410
155,200,449,928,18423
156,210,448,933,18409
157,198,480,925,18397
158,207,467,929,18397
159,187,480,924,18409
160,200,469,936,18395
161,206,477,923,18394
162,227,485,896,18392
163,216,515,894,18375
164,242,521,917,18320
165,227,547,938,18288
166,203,548,980,18269
167,158,519,1007,18316
168,198,480,1015,18307
169,187,490,995,18328
170,187,467,1003,18343
171,187,477,979,18357
172,223,459,986,18332
173,211,476,982,18331
174,223,491,960,18326
175,187,515,965,18333
176,200,501,987,18312
177,189,484,1014,18313
178,202,459,1013,18326
179,181,447,1018,18354
180,213,449,998,18340
181,204,477,951,18368
182,206,498,956,18340
183,198,483,952,18367
184,232,462,944,18362
185,228,476,955,18341
186,251,495,958,18296
187,199,512,974,18315
188,203,500,978,18319
189,187,506,973,18334
190,196,491,994,18319
191,189,488,1007,18316
192,240,483,1002,18275
193,221,504,961,18314
194,205,523,951,18321
195,183,528,966,18323
196,221,513,979,18287
197,194,520,996,18290
198,206,495,1024,18275
199,194,489,1017,18300
200,250,474,1022,18254
