time,S,E,I,R
0,19980,0,20,0
1,5444,14536,15,5
2,1481,14484,4027,8
3,416,11368,7690,526
4,107,8530,9848,1515
5,36,6196,10945,2823
6,18,4493,11287,4202
7,18,3254,11035,5693
8,22,2386,10384,7208
9,23,1708,9711,8558
10,26,1262,8883,9829
11,32,915,8076,10977
12,46,671,7259,12024
13,54,500,6476,12970
14,59,396,5810,13735
15,51,326,5141,14482
16,72,259,4505,15164
17,72,225,3986,15717
18,67,205,3500,16228
19,70,191,3096,16643
20,87,191,2729,16993
21,86,197,2437,17280
22,92,208,2143,17557
23,77,208,1901,17814
24,116,187,1685,18012
25,111,215,1497,18177
26,115,228,1353,18304
27,105,223,1259,18413
28,122,213,1151,18514
29,109,232,1031,18628
30,126,229,963,18682
31,105,256,893,18746
32,108,247,856,18789
33,111,254,774,18861
34,127,259,727,18887
35,100,279,658,18963
36,142,265,648,18945
37,118,294,629,18959
38,125,280,632,18963
39,119,279,625,18977
40,148,278,595,18979
41,114,290,582,19014
42,160,292,552,18996
43,119,318,555,19008
44,150,301,570,18979
45,122,303,574,19001
46,137,295,574,18994
47,135,285,573,19007
48,168,310,547,18975
49,152,330,553,18965
50,181,319,565,18935
51,167,354,563,18916
52,172,373,574,18881
53,154,366,613,18867
54,154,357,628,18861
55,146,371,633,18850
56,151,363,649,18837
57,139,353,651,18857
58,156,349,648,18847
59,133,350,645,18872
60,191,359,637,18813
61,144,386,662,18808
62,159,380,669,18792
63,150,369,672,18809
64,160,364,666,18810
65,143,373,698,18786
66,176,360,710,18754
67,169,381,704,18746
68,166,373,730,18731
69,145,378,724,18753
70,163,365,730,18742
71,148,371,728,18753
72,191,381,712,18716
73,169,386,717,18728
74,153,380,724,18743
75,178,378,712,18732
76,174,406,698,18722
77,157,389,709,18745
78,186,384,708,18722
79,153,418,702,18727
80,171,414,708,18707
81,179,399,734,18688
82,185,393,736,18686
83,133,416,738,18713
84,191,383,750,18676
85,166,386,769,18679
86,186,384,765,18665
87,145,410,756,18689
88,197,384,777,18642
