time,S,E,I,R
0,19980,0,20,0
1,5508,14472,19,1
2,1515,14399,4081,5
3,418,11301,7707,574
4,116,8450,9805,1629
5,38,6085,10947,2930
6,23,4377,11233,4367
7,19,3128,10964,5889
8,27,2257,10423,7293
9,31,1626,9648,8695
10,35,1155,8902,9908
11,33,863,8056,11048
12,47,647,7198,12108
13,37,515,6332,13116
14,52,388,5571,13989
15,55,316,4961,14668
16,69,255,4406,15270
17,84,219,3860,15837
18,82,211,3387,16320
19,83,196,3014,16707
20,80,196,2653,17071
21,78,191,2345,17386
22,107,165,2090,17638
23,90,182,1849,17879
24,116,179,1633,18072
25,105,215,1432,18248
26,91,208,1295,18406
27,94,209,1164,18533
28,129,214,1069,18588
29,96,242,956,18706
30,124,218,902,18756
31,103,249,825,18823
32,108,237,779,18876
33,108,234,752,18906
34,128,234,700,18938
35,118,249,651,18982
36,154,246,621,18979
37,112,282,603,19003
38,141,264,609,18986
39,98,292,597,19013
40,132,275,589,19004
41,115,278,584,19023
42,115,273,577,19035
43,119,274,579,19028
44,127,276,560,19037
45,142,273,563,19022
46,179,289,539,18993
47,137,329,520,19014
48,148,323,521,19008
49,129,350,524,18997
50,166,310,558,18966
51,166,338,558,18938
52,167,352,578,18903
53,120,346,612,18922
54,159,330,584,18927
55,137,353,578,18932
56,169,345,584,18902
57,175,353,603,18869
58,155,372,611,18862
59,133,384,593,18890
60,198,341,644,18817
61,170,371,644,18815
62,143,372,663,18822
63,136,346,682,18836
64,166,353,662,18819
65,145,368,659,18828
66,192,341,665,18802
67,152,385,646,18817
68,179,365,674,18782
69,173,381,681,18765
70,185,385,677,18753
71,154,394,681,18771
72,189,393,686,18732
73,194,407,689,18710
74,170,430,691,18709
75,169,406,739,18686
76,219,398,750,18633
77,167,427,755,18651
78,176,420,767,18637
79,134,424,773,18669
80,162,390,782,18666
81,180,394,764,18662
82,192,399,776,18633
83,147,420,783,18650
84,170,407,779,18644
85,182,426,751,18641
86,202,417,763,18618
87,184,424,767,18625
88,193,414,770,18623
89,149,426,781,18644
90,192,391,795,18622
91,177,411,783,18629
92,211,419,780,18590
93,191,455,785,18569
94,198,448,773,18581
95,165,457,791,18587
96,227,423,796,18554
97,186,445,815,18554
98,179,432,812,18577
99,175,421,818,18586
100,199,401,823,18577
101,171,407,860,18562
102,243,409,839,18509
103,182,470,825,18523
104,175,450,861,18514
105,188,432,863,18517
106,193,437,872,18498
107,175,448,865,18512
108,195,447,881,18477
109,193,439,871,18497
110,190,449,832,18529
111,187,437,848,18528
112,227,425,854,18494
113,174,454,852,18520
114,216,425,870,18489
115,174,454,859,18513
116,189,445,867,18499
117,184,448,869,18499
118,186,449,854,18511
119,149,434,861,18556
120,215,404,854,18527
121,223,438,829,18510
122,238,469,842,18451
123,186,499,865,18450
124,187,483,895,18435
125,181,475,880,18464
126,172,476,891,18461
127,194,448,896,18462
128,212,442,912,18434
129,205,458,897,18440
130,185,462,900,18453
131,191,457,919,18433
132,188,466,908,18438
133,203,470,914,18413
134,189,474,913,18424
135,192,476,888,18444
136,227,454,929,18390
137,206,507,923,18364
138,237,505,928,18330
139,204,524,945,18327
140,208,507,960,18325
141,218,509,935,18338
142,218,507,926,18349
143,182,508,911,18399
144,206,492,878,18424
145,224,480,906,18390
146,220,481,933,18366
147,217,480,920,18383
148,212,492,923,18373
149,170,508,910,18412
150,203,455,952,18390
151,192,465,947,18396
152,225,468,926,18381
153,193,490,918,18399
154,211,505,909,18375
155,190,521,909,18380
156,242,492,936,18330
157,221,510,930,18339
158,200,523,947,18330
159,188,499,945,18368
160,206,464,940,18390
161,192,462,951,18395
162,234,458,960,18348
163,234,472,968,18326
164,184,496,953,18367
165,206,491,946,18357
166,216,493,937,18354
167,159,518,926,18397
168,191,461,958,18390
169,207,456,955,18382
170,214,464,949,18373
171,197,482,924,18397
172,218,477,926,18379
173,208,494,927,18371
174,214,492,946,18348
175,184,504,945,18367
176,237,471,952,18340
177,207,491,962,18340
178,209,473,943,18375
179,159,467,963,18411
180,213,427,970,18390
181,221,451,934,18394
182,233,480,919,18368
183,225,495,920,18360
184,237,512,923,18328
185,211,520,928,18341
186,234,512,922,18332
187,189,548,933,18330
188,195,528,953,18324
189,206,500,993,18301
190,198,485,1001,18316
191,190,497,987,18326
192,283,484,981,18252
193,235,534,988,18243
194,206,536,995,18263
195,192,532,1011,18265
196,239,495,1045,18221
197,214,489,1040,18257
198,241,488,1017,18254
199,188,504,1013,18295
200,225,464,1027,18284
201,242,484,998,18276
202,217,524,995,18264
203,192,513,1018,18277
204,210,514,996,18280
205,211,524,994,18271
206,212,501,1012,18275
207,202,506,1005,18287
208,200,488,1011,18301
209,191,501,983,18325
210,205,501,957,18337
211,224,503,955,18318
212,230,533,927,18310
213,250,522,952,18276
214,216,552,969,18263
215,185,532,1002,18281
216,212,523,1009,18256
217,215,530,1005,18250
218,206,528,1002,18264
219,203,523,1022,18252
220,224,535,1031,18210
221,198,528,1043,18231
