time,S,E,I,R
0,19980,0,20,0
1,5502,14478,19,1
2,1531,14235,4229,5
3,440,11316,7708,536
4,102,8446,9903,1549
5,20,6237,10866,2877
6,13,4490,11116,4381
7,16,3202,10968,5814
8,18,2309,10363,7310
9,28,1690,9518,8764
10,35,1217,8738,10010
11,29,882,7947,11142
12,55,634,7146,12165
13,45,501,6314,13140
14,59,392,5673,13876
15,52,331,4983,14634
16,71,256,4457,15216
17,72,216,3959,15753
18,72,209,3474,16245
19,75,193,3067,16665
20,100,164,2706,17030
21,85,179,2410,17326
22,84,177,2109,17630
23,93,182,1887,17838
24,96,191,1698,18015
25,92,201,1533,18174
26,106,200,1369,18325
27,90,203,1239,18468
28,115,197,1143,18545
29,87,207,1040,18666
30,122,196,951,18731
31,97,224,872,18807
32,126,221,809,18844
33,125,253,739,18883
34,125,262,717,18896
35,108,273,681,18938
36,154,259,664,18923
37,130,289,653,18928
38,120,299,633,18948
39,129,301,616,18954
40,153,291,609,18947
41,124,301,613,18962
42,138,287,607,18968
43,132,289,587,18992
44,152,282,580,18986
45,136,292,592,18980
46,160,297,589,18954
47,129,326,583,18962
48,158,304,576,18962
49,135,332,569,18964
50,138,343,567,18952
51,137,338,573,18952
52,150,327,587,18936
53,146,339,602,18913
54,141,351,617,18891
55,142,332,629,18897
56,152,327,642,18879
57,137,342,638,18883
58,160,338,630,18872
59,130,359,629,18882
60,183,354,629,18834
61,171,372,624,18833
62,166,357,644,18833
63,145,369,650,18836
64,170,374,672,18784
65,162,388,673,18777
66,178,375,695,18752
67,151,395,704,18750
68,172,391,710,18727
69,154,392,724,18730
70,155,396,720,18729
71,163,365,750,18722
72,188,382,726,18704
73,161,409,727,18703
74,182,399,726,18693
75,154,413,730,18703
76,194,383,748,18675
77,152,395,747,18706
78,175,401,734,18690
79,185,393,725,18697
80,184,388,742,18686
81,210,389,760,18641
82,196,418,757,18629
83,157,437,749,18657
84,166,405,772,18657
85,172,404,780,18644
86,213,392,795,18600
87,182,415,801,18602
88,205,416,812,18567
89,149,448,787,18616
90,191,426,784,18599
91,164,443,784,18609
92,184,409,820,18587
93,199,400,828,18573
94,192,422,798,18588
95,172,432,782,18614
96,195,427,779,18599
97,189,449,774,18588
98,159,465,788,18588
99,198,428,806,18568
100,204,440,798,18558
101,179,454,818,18549
102,200,451,832,18517
103,195,460,851,18494
104,189,456,862,18493
105,177,465,873,18485
106,197,456,888,18459
107,174,454,881,18491
108,206,447,890,18457
109,187,450,906,18457
110,187,447,898,18468
111,176,444,891,18489
112,209,431,901,18459
113,205,431,911,18453
114,201,453,886,18460
115,185,459,890,18466
116,207,436,916,18441
117,210,448,912,18430
118,174,467,904,18455
119,152,461,900,18487
120,193,426,912,18469
121,211,440,887,18462
122,201,465,897,18437
123,217,478,873,18432
124,204,480,877,18439
125,190,479,901,18430
126,206,483,914,18397
127,187,475,929,18409
128,220,473,928,18379
129,216,479,937,18368
130,207,482,926,18385
131,169,467,955,18409
132,216,457,917,18410
133,216,457,905,18422
134,223,463,881,18433
135,211,476,893,18420
136,222,491,902,18385
137,204,486,945,18365
138,210,474,965,18351
139,165,495,959,18381
140,188,465,963,18384
141,209,463,966,18362
142,207,461,964,18368
143,168,485,935,18412
144,200,457,935,18408
145,215,465,911,18409
146,214,475,897,18414
147,204,495,882,18419
148,220,499,921,18360
149,193,501,942,18364
150,208,504,963,18325
151,194,493,978,18335
152,199,471,995,18335
153,195,497,962,18346
154,197,495,956,18352
155,195,488,938,18379
156,218,474,963,18345
157,231,487,952,18330
158,217,497,958,18328
159,192,520,967,18321
160,215,480,997,18308
161,190,495,978,18337
162,245,474,992,18289
163,205,519,966,18310
164,209,495,1013,18283
165,224,470,1016,18290
166,207,472,1003,18318
167,149,480,980,18391
168,199,449,959,18393
169,195,454,939,18412
170,216,455,928,18401
171,192,473,928,18407
172,235,492,916,18357
173,227,503,929,18341
174,231,525,927,18317
175,216,535,951,18298
176,212,523,971,18294
177,219,518,974,18289
178,219,516,994,18271
179,170,526,1003,18301
180,221,496,997,18286
181,208,503,1001,18288
182,222,485,994,18299
183,205,502,1015,18278
184,212,507,991,18290
185,213,526,967,18294
186,250,525,988,18237
187,232,550,1002,18216
188,205,555,1026,18214
189,207,518,1053,18222
190,215,515,1058,18212
191,193,535,1023,18249
192,229,504,1065,18202
193,213,539,1041,18207
194,206,535,1031,18228
195,214,535,1014,18237
196,219,535,1019,18227
197,196,549,991,18264
198,215,548,1008,18229
199,223,534,1014,18229
200,220,531,1033,18216
201,234,516,1062,18188
202,223,520,1069,18188
203,208,521,1066,18205
204,233,517,1078,18172
205,192,511,1086,18211
206,230,526,1055,18189
207,225,553,1033,18189
208,203,523,1043,18231
209,188,491,1051,18270
210,218,476,1044,18262
211,192,517,1001,18290
212,243,509,1003,18245
213,244,526,1016,18214
214,220,547,1033,18200
215,168,552,1036,18244
216,211,515,1061,18213
217,226,510,1031,18233
218,210,520,1028,18242
219,212,511,1032,18245
220,227,499,1034,18240
221,205,506,1042,18247
222,221,489,1052,18238
223,199,511,1010,18280
224,215,510,1011,18264
225,210,511,992,18287
226,226,537,964,18273
227,221,552,975,18252
228,213,530,1021,18236
229,203,544,1010,18243
230,201,514,1048,18237
231,211,528,1012,18249
232,233,539,1022,18206
233,214,553,1010,18223
234,247,529,1041,18183
235,219,543,1038,18200
236,216,527,1045,18212
237,233,539,1039,18189
238,228,518,1076,18178
239,192,532,1052,18224
240,223,514,1039,18224
241,218,517,1035,18230
242,222,525,1025,18228
243,226,522,1032,18220
244,241,513,1061,18185
245,224,530,1058,18188
246,250,513,1069,18168
247,213,553,1057,18177
248,208,553,1085,18154
249,213,547,1082,18158
250,197,523,1093,18187
251,174,519,1069,18238
252,208,484,1061,18247
253,221,475,1045,18259
254,218,499,1032,18251
255,217,521,1024,18238
256,236,531,1024,18209
257,227,551,1019,18203
258,210,561,1021,18208
259,220,546,1030,18204
260,246,548,1016,18190
261,228,568,1040,18164
262,253,559,1032,18156
263,204,569,1050,18177
264,195,547,1062,18196
265,238,521,1057,18184
266,239,543,1052,18166
267,216,526,1071,18187
268,241,528,1091,18140
269,210,524,1088,18178
270,217,518,1106,18159
271,208,520,1093,18179
272,223,509,1092,18176
273,238,499,1096,18167
274,241,515,1062,18182
275,216,536,1038,18210
276,253,521,1047,18179
277,218,559,1057,18166
278,204,559,1051,18186
279,209,526,1065,18200
280,246,494,1072,18188
281,224,523,1069,18184
282,248,548,1027,18177
283,228,530,1067,18175
284,226,553,1075,18146
285,222,542,1072,18164
286,173,548,1084,18195
287,164,511,1074,18251
288,209,503,1065,18223
289,216,485,1067,18232
290,230,513,1043,18214
291,271,515,1036,18178
292,282,532,1059,18127
293,217,577,1059,18147
294,220,570,1079,18131
295,208,569,1074,18149
296,241,551,1091,18117
297,233,562,1104,18101
298,234,563,1114,18089
299,202,574,1107,18117
300,216,548,1110,18126
301,230,520,1129,18121
302,216,513,1128,18143
303,227,518,1122,18133
304,246,517,1103,18134
305,237,526,1084,18153
306,227,539,1079,18155
307,216,539,1071,18174
308,230,541,1049,18180
309,233,554,1035,18178
310,234,532,1072,18162
311,236,527,1058,18179
312,226,561,1045,18168
313,234,569,1052,18145
314,229,552,1065,18154
315,239,550,1065,18146
316,259,545,1070,18126
317,227,569,1068,18136
318,215,542,1101,18142
319,211,527,1093,18169
320,200,525,1106,18169
321,249,510,1108,18133
322,201,538,1092,18169
323,193,515,1072,18220
324,221,499,1057,18223
325,235,495,1053,18217
326,248,497,1045,18210
327,223,540,1030,18207
328,222,543,1043,18192
329,213,545,1046,18196
330,242,531,1043,18184
331,244,560,1041,18155
332,219,564,1067,18150
333,221,559,1064,18156
334,227,550,1084,18139
335,207,555,1090,18148
336,245,526,1116,18113
337,210,539,1099,18152
338,208,537,1102,18153
339,182,543,1092,18183
340,179,529,1092,18200
341,217,519,1060,18204
342,246,510,1044,18200
343,228,524,1040,18208
344,224,541,1052,18183
345,238,535,1052,18175
346,237,557,1032,18174
347,237,543,1041,18179
348,264,552,1053,18131
349,234,572,1059,18135
350,244,541,1094,18121
351,215,575,1096,18114
352,234,565,1102,18099
353,200,557,1105,18138
354,251,518,1122,18109
355,261,552,1114,18073
356,235,597,1080,18088
357,215,590,1089,18106
358,217,557,1125,18101
359,181,537,1146,18136
360,220,486,1151,18143
361,224,490,1133,18153
362,223,517,1104,18156
363,214,513,1110,18163
364,230,504,1107,18159
365,227,501,1101,18171
